,date,nofsales
1169,2010-04-21,5
1170,2010-04-22,11
1171,2010-04-23,5
1172,2010-04-24,1
1173,2010-04-25,0
1174,2010-04-26,0
1175,2010-04-27,9
1176,2010-04-28,5
1177,2010-04-29,3
1178,2010-04-30,4
1179,2010-05-01,4
1180,2010-05-02,0
1181,2010-05-03,15
1182,2010-05-04,4
1183,2010-05-05,5
1184,2010-05-06,3
1185,2010-05-07,10
1186,2010-05-08,1
1187,2010-05-09,0
1188,2010-05-10,5
1189,2010-05-11,4
1190,2010-05-12,1
1191,2010-05-13,6
1192,2010-05-14,7
1193,2010-05-15,4
1194,2010-05-16,0
1195,2010-05-17,6
1196,2010-05-18,7
1197,2010-05-19,5
1198,2010-05-20,3
1199,2010-05-21,3
1200,2010-05-22,2
1201,2010-05-23,0
1202,2010-05-24,5
1203,2010-05-25,7
1204,2010-05-26,6
1205,2010-05-27,8
1206,2010-05-28,7
1207,2010-05-29,5
1208,2010-05-30,0
1209,2010-05-31,13
1210,2010-06-01,7
1211,2010-06-02,8
1212,2010-06-03,5
1213,2010-06-04,9
1214,2010-06-05,8
1215,2010-06-06,0
1216,2010-06-07,5
1217,2010-06-08,5
1218,2010-06-09,8
1219,2010-06-10,3
1220,2010-06-11,1
1221,2010-06-12,1
1222,2010-06-13,0
1223,2010-06-14,0
1224,2010-06-15,7
1225,2010-06-16,8
1226,2010-06-17,9
1227,2010-06-18,6
1228,2010-06-19,4
1229,2010-06-20,0
1230,2010-06-21,6
1231,2010-06-22,1
1232,2010-06-23,6
1233,2010-06-24,2
1234,2010-06-25,4
1235,2010-06-26,4
1236,2010-06-27,0
1237,2010-06-28,7
1238,2010-06-29,6
1239,2010-06-30,7
1240,2010-07-01,5
1241,2010-07-02,7
1242,2010-07-03,0
1243,2010-07-04,0
1244,2010-07-05,4
